,15251
2014-09-15,15
2014-09-16,42
2014-09-17,12
2014-09-18,19
2014-09-19,12
2014-09-22,9
2014-09-23,22
2014-09-24,16
2014-09-25,12
2014-09-26,5
2014-09-29,11
2014-09-30,12
2014-10-01,7
2014-10-02,12
2014-10-03,12
2014-10-06,22
2014-10-07,14
2014-10-08,12
2014-10-09,13
2014-10-10,14
2014-10-13,5
2014-10-14,19
2014-10-15,10
2014-10-16,14
2014-10-17,15
2014-10-20,13
2014-10-21,16
2014-10-22,12
2014-10-23,22
2014-10-24,15
2014-10-27,10
2014-10-28,23
2014-10-29,6
2014-10-30,24
2014-10-31,8
2014-11-03,9
2014-11-04,19
2014-11-05,11
2014-11-06,16
2014-11-07,17
2014-11-10,11
2014-11-11,19
